# time thermal kinetic hydro gravitational total
1.461406454903160714e-04 9.950322924569885430e-01 4.982708928038825230e-03 1.000015001385027302e+00 -1.304796089526805785e-09 1.000015000080231253e+00
2.597225379020261671e-03 8.377790741897406246e-01 1.622609803852861354e-01 1.000040054575026538e+00 -1.930253392226466251e-05 1.000020752041104188e+00
5.014217975438622736e-03 8.062081771456852675e-01 1.939373550272432412e-01 1.000145532172928231e+00 -9.851499158270557899e-05 1.000047017181345588e+00
7.661051768267744880e-03 7.952010223977087344e-01 2.051580159834203998e-01 1.000359038381129162e+00 -2.616197823677800347e-04 1.000097418598761445e+00
1.028260684439077574e-02 7.894993565979930850e-01 2.111721508844600359e-01 1.000671507482453260e+00 -5.053989494975615233e-04 1.000166108532955622e+00
1.261723417224543814e-02 7.860786727009319019e-01 2.149563064102037180e-01 1.001034979111135481e+00 -7.936584020530403115e-04 1.000241320709082338e+00
1.518253382692520345e-02 7.832750138242946525e-01 2.182527546687706710e-01 1.001527768493065462e+00 -1.189694661685768064e-03 1.000338073831379626e+00
1.751076429705548249e-02 7.812816014665956432e-01 2.207788647285087724e-01 1.002060466195104249e+00 -1.622497216768748222e-03 1.000437968978335590e+00
2.036613615045161987e-02 7.793257490907070650e-01 2.235001470671063306e-01 1.002825896157813368e+00 -2.250468463401738249e-03 1.000575427694411657e+00
2.292702813157386499e-02 7.779079053709173630e-01 2.257106103370988825e-01 1.003618515708016412e+00 -2.906354298963683552e-03 1.000712161409052836e+00
2.513810324091354451e-02 7.768815937624901080e-01 2.275028071797028373e-01 1.004384400942193167e+00 -3.544291882034535449e-03 1.000840109060158634e+00
2.788096064681076444e-02 7.758146635823237602e-01 2.296258754240885491e-01 1.005440539006412504e+00 -4.429328044550745642e-03 1.001011210961861853e+00
3.023933674413107828e-02 7.750502883597965020e-01 2.313931692497822046e-01 1.006443457609578651e+00 -5.274425610624832068e-03 1.001169031998953907e+00
3.266212140849726608e-02 7.743909106057146330e-01 2.331751108146839224e-01 1.007566021420398528e+00 -6.224771252872803029e-03 1.001341250167525621e+00
3.514788395147555589e-02 7.738304730809094645e-01 2.349854746048794796e-01 1.008815947685788972e+00 -7.287566882794659084e-03 1.001528380802994223e+00
3.769528805852888353e-02 7.733645787518199644e-01 2.368365947418471229e-01 1.010201173493667115e+00 -8.470229338995938217e-03 1.001730944154671121e+00
4.030308407677162669e-02 7.729898256379659216e-01 2.387400512604734848e-01 1.011729876898439517e+00 -9.780410067686130804e-03 1.001949466830753366e+00
4.297010385309914943e-02 7.727038493684064147e-01 2.407066518170055125e-01 1.013410501185411983e+00 -1.122601577454982076e-02 1.002184485410862136e+00
4.514562540173949062e-02 7.725378946831550353e-01 2.423323487535990750e-01 1.014870243436754249e+00 -1.248549785081199195e-02 1.002384745585942261e+00
4.791654966659331799e-02 7.724080558724759626e-01 2.444384987245001029e-01 1.016846554596976038e+00 -1.419570703242001991e-02 1.002650847564555914e+00
5.017390839049595819e-02 7.723659370737293584e-01 2.461887999614444378e-01 1.018554737035173741e+00 -1.567802716794793744e-02 1.002876709867225768e+00
5.304562717317086451e-02 7.723904746560266155e-01 2.484665391573599447e-01 1.020857013813386338e+00 -1.768125130069019349e-02 1.003175762512696245e+00
5.538249575196607655e-02 7.724720530070695590e-01 2.503666942726833211e-01 1.022838747279752658e+00 -1.940998039794710264e-02 1.003428766881805601e+00
5.775403511503993809e-02 7.726091066255961204e-01 2.523415277920574296e-01 1.024950634417653550e+00 -2.125627908844973657e-02 1.003694355329203702e+00
6.015987087441314329e-02 7.728021124170429967e-01 2.543961154578922024e-01 1.027198227874935199e+00 -2.322536443651091950e-02 1.003972863438424179e+00
6.259965299596337296e-02 7.730517238038872030e-01 2.565355699286336888e-01 1.029587293732521003e+00 -2.532265357138353823e-02 1.004264640161137478e+00
6.507305501221306854e-02 7.733588016630279505e-01 2.587650253455199278e-01 1.032123827008547767e+00 -2.755378066415047414e-02 1.004570046344397394e+00
6.757977329975960179e-02 7.737243149971355649e-01 2.610897530793885868e-01 1.034814068076524096e+00 -2.992461104599947880e-02 1.004889457030524680e+00
7.011952641210411619e-02 7.741493073866048125e-01 2.635152127292307300e-01 1.037664520115835431e+00 -3.244125587863241206e-02 1.005223264237202985e+00
