# time thermal kinetic hydro gravitational total
1.461406454903160714e-04 9.949718353632054368e-01 5.043164636795043065e-03 1.000015000000000320e+00 0.000000000000000000e+00 1.000015000000000320e+00
2.587512661855328935e-03 8.520095586858378311e-01 1.480054413141625169e-01 1.000015000000000098e+00 0.000000000000000000e+00 1.000015000000000098e+00
5.169800253624535005e-03 8.160502932410025334e-01 1.839647067589982032e-01 1.000015000000000542e+00 0.000000000000000000e+00 1.000015000000000542e+00
7.571361946455022404e-03 8.050730885824225469e-01 1.949419114175783285e-01 1.000015000000000764e+00 0.000000000000000000e+00 1.000015000000000764e+00
1.011980638086503424e-02 7.986391547626325860e-01 2.013758452373681507e-01 1.000015000000000764e+00 0.000000000000000000e+00 1.000015000000000764e+00
1.266856786082685982e-02 7.942418909483870415e-01 2.057731090516137229e-01 1.000015000000000764e+00 0.000000000000000000e+00 1.000015000000000764e+00
1.510663174211067383e-02 7.910281726352547116e-01 2.089868273647463304e-01 1.000015000000000764e+00 0.000000000000000000e+00 1.000015000000000764e+00
1.765347450555704995e-02 7.883120994150520922e-01 2.117029005849490608e-01 1.000015000000000986e+00 0.000000000000000000e+00 1.000015000000000986e+00
2.029277806123983355e-02 7.859678617253408328e-01 2.140471382746603757e-01 1.000015000000000986e+00 0.000000000000000000e+00 1.000015000000000986e+00
2.270823898913477967e-02 7.841264835706205361e-01 2.158885164293807279e-01 1.000015000000000986e+00 0.000000000000000000e+00 1.000015000000000986e+00
2.518391873224679403e-02 7.824690306595546430e-01 2.175459693404467321e-01 1.000015000000001208e+00 0.000000000000000000e+00 1.000015000000001208e+00
2.771600479139971901e-02 7.809642333818094251e-01 2.190507666181920610e-01 1.000015000000001431e+00 0.000000000000000000e+00 1.000015000000001431e+00
3.030126236720248958e-02 7.795885212818922660e-01 2.204264787181094976e-01 1.000015000000001653e+00 0.000000000000000000e+00 1.000015000000001653e+00
3.260426275213765268e-02 7.784761857914046512e-01 2.215388142085973344e-01 1.000015000000001653e+00 0.000000000000000000e+00 1.000015000000001653e+00
3.527993633933924900e-02 7.772963791330216310e-01 2.227186208669805489e-01 1.000015000000001875e+00 0.000000000000000000e+00 1.000015000000001875e+00
3.765768344825733832e-02 7.763348102863598665e-01 2.236801897136425354e-01 1.000015000000002097e+00 0.000000000000000000e+00 1.000015000000002097e+00
4.006809043544909410e-02 7.754319604125148313e-01 2.245830395874875152e-01 1.000015000000002097e+00 0.000000000000000000e+00 1.000015000000002097e+00
4.250989820457842100e-02 7.745819293468597655e-01 2.254330706531426642e-01 1.000015000000002097e+00 0.000000000000000000e+00 1.000015000000002097e+00
