# time thermal kinetic hydro gravitational total
1.461406454903160714e-04 9.958494877878533158e-01 4.165513357862448904e-03 1.000015001145715621e+00 -1.130897717321789427e-09 1.000015000014817801e+00
2.649969677124369878e-03 8.861906218205711783e-01 1.138419641027960810e-01 1.000032585923366968e+00 -1.239816802881241535e-05 1.000020187755338075e+00
5.142525674628226767e-03 8.523377430849636838e-01 1.477737424231166663e-01 1.000111485508080156e+00 -6.675824128021814953e-05 1.000044727266799827e+00
7.714814157814985432e-03 8.360685042653500654e-01 1.642021142492605390e-01 1.000270618514610632e+00 -1.780424420085226656e-04 1.000092576072602046e+00
1.010776956248083357e-02 8.268442050979822877e-01 1.736499576115959897e-01 1.000494162709578250e+00 -3.371575506418691081e-04 1.000157005158936352e+00
1.280425594171594357e-02 8.196658162387358004e-01 1.811707964546084015e-01 1.000836612693344119e+00 -5.848929283490732298e-04 1.000251719764994940e+00
1.502785265284250354e-02 8.152277401380940702e-01 1.859652879811991011e-01 1.001193028119293116e+00 -8.461797662398063769e-04 1.000346848353053320e+00
1.784243253462497111e-02 8.108208895546645811e-01 1.909212219765679119e-01 1.001742111531232604e+00 -1.253498805553887509e-03 1.000488612725678683e+00
2.044540148439004043e-02 8.075753321624694614e-01 1.947736388398112750e-01 1.002348971002280820e+00 -1.708615649477584911e-03 1.000640355352803157e+00
2.274979995492058121e-02 8.051842357775339520e-01 1.977826296748386170e-01 1.002966865452372680e+00 -2.176049221377907971e-03 1.000790816230994862e+00
2.517774431370582711e-02 8.030423872923274642e-01 2.006585193928023814e-01 1.003700906685129901e+00 -2.735523049683186939e-03 1.000965383635446626e+00
2.772967876973803092e-02 8.011243823908078543e-01 2.034410148125261053e-01 1.004565397203333710e+00 -3.399135036775601838e-03 1.001166262166558019e+00
3.040605496966578350e-02 7.994107450982572693e-01 2.061649510841033206e-01 1.005575696182360534e+00 -4.179931588478584883e-03 1.001395764593882021e+00
3.263687450796775441e-02 7.981768793491181846e-01 2.083229954355532432e-01 1.006499874784671622e+00 -4.898310397730760123e-03 1.001601564386940924e+00
3.553795762274090941e-02 7.967960935399164280e-01 2.110186625709879193e-01 1.007814756110904320e+00 -5.926103238696227987e-03 1.001888652872208185e+00
3.794887740695416373e-02 7.958152394082899095e-01 2.131906573754191458e-01 1.009005896783709000e+00 -6.862122355882837102e-03 1.002143774427826095e+00
4.043968629580665941e-02 7.949408506446903333e-01 2.153906915681668699e-01 1.010331542212857148e+00 -7.908586455507000609e-03 1.002422955757350076e+00
4.301020768960848312e-02 7.941705733726878158e-01 2.176315778981932902e-01 1.011802151270881245e+00 -9.074583836696665726e-03 1.002727567434184675e+00
4.566046452991782967e-02 7.935027572721351508e-01 2.199261129014905281e-01 1.013428870173625596e+00 -1.036982792493081583e-02 1.003059042248694688e+00
4.769909622244964537e-02 7.930688153851797040e-01 2.216886657448898235e-01 1.014757481130069472e+00 -1.143149918721496523e-02 1.003325981942854606e+00
5.047191612271084010e-02 7.925810136065776224e-01 2.240929027504776905e-01 1.016673916357055285e+00 -1.296821789869174318e-02 1.003705698458363438e+00
5.259057564558747982e-02 7.922824876582155174e-01 2.259417594793599049e-01 1.018224247137575533e+00 -1.421552088384551125e-02 1.004008726253730055e+00
5.546622522762375412e-02 7.919731887712764262e-01 2.284762735483587826e-01 1.020449462319635181e+00 -1.601163447927070327e-02 1.004437827840364506e+00
5.766040522233558535e-02 7.918072311363717475e-01 2.304351081614670060e-01 1.022242339297838587e+00 -1.746331543390188673e-02 1.004779023863936693e+00
6.063506333328243930e-02 7.916735478301880624e-01 2.331327980855213422e-01 1.024806345915709516e+00 -1.954569054861230934e-02 1.005260655367097300e+00
6.290234576707839920e-02 7.916389354044606197e-01 2.352263713760658903e-01 1.026865306780526677e+00 -2.122279557962930552e-02 1.005642511200897316e+00
6.520031731832452715e-02 7.916607688607845139e-01 2.373852212001473505e-01 1.029045990060931892e+00 -2.300342113593046439e-02 1.006042568925001435e+00
6.752863213109107365e-02 7.917392562080203255e-01 2.396139940111026712e-01 1.031353250219122941e+00 -2.489191094956797259e-02 1.006461339269554944e+00
7.067969433192479445e-02 7.919328151420801376e-01 2.427024113842102260e-01 1.034635226526290364e+00 -2.758550621360502872e-02 1.007049720312685359e+00
7.307746619015415002e-02 7.921453599408374568e-01 2.451122616262525200e-01 1.037257621567090116e+00 -2.974344324090861386e-02 1.007514178326181398e+00
7.550439709857198478e-02 7.924163789835960703e-01 2.476075495440157592e-01 1.040023928527611830e+00 -3.202483955038327307e-02 1.007999088977228563e+00
7.796020658506562506e-02 7.927466932171162162e-01 2.501931294527071081e-01 1.042939822669823435e+00 -3.443475984904875720e-02 1.008505062820774789e+00
8.044463390285933047e-02 7.931372309573733181e-01 2.528739821987895375e-01 1.046011213156162745e+00 -3.697855933333496492e-02 1.009032653822827807e+00
8.295743695351810720e-02 7.935890184523365365e-01 2.556552370747759984e-01 1.049244255527112424e+00 -3.966175715302391880e-02 1.009582498374088422e+00
8.549839132889661131e-02 7.941032355803385734e-01 2.585421347917409296e-01 1.052645370372079503e+00 -4.249011261441903997e-02 1.010155257757660463e+00
8.806728943577578350e-02 7.946811390501682393e-01 2.615401174641420745e-01 1.056221256514310314e+00 -4.546969557668455175e-02 1.010751560937625859e+00
9.066393978985222424e-02 7.953241652292324382e-01 2.646547435271297544e-01 1.059978908756362248e+00 -4.860676140186594857e-02 1.011372147354496320e+00
9.328816639873342698e-02 7.960338173024329445e-01 2.678918205423630461e-01 1.063925637844795880e+00 -5.190790562529744301e-02 1.012017732219498534e+00
9.505289079451680057e-02 7.965447611029986552e-01 2.701208315405936866e-01 1.066665592643592397e+00 -5.420322269104292656e-02 1.012462369952549457e+00
9.772272697042305722e-02 7.973692260423281830e-01 2.735753813520831468e-01 1.070944607394411330e+00 -5.779326991158660609e-02 1.013151337482824710e+00
1.000000000000000056e-01 7.981214590847728330e-01 2.766025870208162485e-01 1.074724046105589137e+00 -6.096943026926494869e-02 1.013754615836324202e+00
